net,length_um
_0694_,5.62
_0739_,5.62
_0256_,5.6
_1037_,5.58
_0062_,5.56
data_out[17],5.53
_0280_,5.5
_0986_,5.5
net94,5.5
_0226_,5.48
_0929_,5.48
_1042_,5.44
_0405_,5.4
_0413_,5.4
_1124_,5.4
_1126_,5.4
_0118_,5.38
_0133_,5.38
_0183_,5.38
_0283_,5.38
_0400_,5.38
_0467_,5.38
_0599_,5.38
_0866_,5.38
_1030_,5.38
_1046_,5.38
_0543_,5.36
_0659_,5.36
_0385_,5.34
_0393_,5.34
_0643_,5.34
_1029_,5.34
data_in1[31],5.29
_0621_,5.28
_1012_,5.28
_0197_,5.26
_0221_,5.26
_0317_,5.26
_0862_,5.26
_1044_,5.26
_0887_,5.24
_0112_,5.22
_0184_,5.22
_0285_,5.22
_0380_,5.22
_0737_,5.22
_0991_,5.22
_1110_,5.22
data_out[8],5.19
_0754_,5.14
_0654_,5.07
data_out[0],5.07
data_out[9],5.07
_0157_,5.06
_0087_,5.04
data_in1[21],4.95
_0137_,4.94
_0332_,4.94
_1043_,4.94
_0633_,4.92
_1007_,4.92
_1018_,4.92
_1096_,4.92
_0362_,4.9
_0483_,4.9
_0224_,4.88
_1021_,4.88
data_in1[0],4.85
data_out[11],4.85
data_out[7],4.85
_0007_,4.82
_0264_,4.8
_0331_,4.8
control[2],4.73
data_in2[19],4.73
data_out[24],4.73
_0403_,4.66
_0819_,4.66
data_in1[18],4.61
data_in2[8],4.61
_0179_,4.58
_0525_,4.58
net96,4.58
_0319_,4.54
_0154_,4.48
_0369_,4.48
_0386_,4.48
_0689_,4.48
_0917_,4.48
_1116_,4.48
_0205_,4.46
_0254_,4.46
_0307_,4.46
_0415_,4.46
_0686_,4.46
_0776_,4.46
_0220_,4.44
_0244_,4.42
_0303_,4.42
_0923_,4.42
_1009_,4.42
data_in2[23],4.39
_0039_,4.36
net90,4.36
_0002_,4.34
_0090_,4.34
_0105_,4.34
_0169_,4.34
_0310_,4.34
_0328_,4.34
_0513_,4.34
_0766_,4.34
_0799_,4.34
_1094_,4.34
_0404_,4.28
data_in2[21],4.27
data_out[26],4.27
_0660_,4.24
_0363_,4.14
_0999_,4.14
_0136_,4.12
_1114_,4.12
_0946_,4.1
_0669_,4.07
_0177_,4.02
_0249_,4.02
_0725_,4.02
_0006_,4
_0673_,4
_0751_,4
_0963_,4
_1069_,4
_0723_,3.98
data_in2[29],3.93
_0966_,3.9
_1115_,3.9
_0834_,3.88
_0247_,3.86
net105,3.86
_0376_,3.78
_0795_,3.78
_0176_,3.66
_0658_,3.66
_0245_,3.56
_0314_,3.56
_0333_,3.56
_0817_,3.56
_0950_,3.56
_1095_,3.56
_1122_,3.56
_0114_,3.54
_0877_,3.54
_1071_,3.54
_0041_,3.44
_0096_,3.44
_0983_,3.43
_0095_,3.42
_0233_,3.42
_0258_,3.42
_0568_,3.42
_0812_,3.42
_0875_,3.42
_1022_,3.42
net89,3.42
_0187_,3.4
_1058_,3.32
_0288_,3.22
_0390_,3.22
_1045_,3.22
_0909_,3.2
net120,3.2
_0236_,3.18
_0644_,3.18
_0452_,3.125
_0777_,3.1
_0886_,3.1
_0047_,3.08
_0079_,3.08
_0122_,3.08
_0377_,3.08
_0573_,3.08
_0672_,3.08
_0800_,3.08
_0826_,3.08
_0832_,3.08
_0889_,3.08
_1008_,3.08
_1076_,3.08
_0696_,3.06
_0388_,2.98
_0883_,2.98
_0075_,2.96
_0217_,2.96
_0235_,2.96
_0253_,2.96
_0237_,2.94
_0757_,2.86
_0774_,2.86
_0907_,2.86
_0920_,2.86
_0915_,2.84
_0019_,2.76
_0371_,2.76
_0378_,2.76
_0995_,2.76
_0836_,2.74
_0171_,2.73
_0121_,2.72
_0965_,2.72
_0203_,2.64
_0306_,2.64
_0046_,2.62
_0181_,2.62
_0278_,2.62
_1078_,2.62
_0055_,2.52
_0101_,2.52
_0123_,2.52
_0561_,2.52
_0697_,2.52
_0867_,2.52
_0967_,2.52
_1092_,2.52
_1121_,2.52
_1134_,2.52
_0190_,2.505
_0035_,2.5
_0067_,2.5
_0077_,2.5
_0260_,2.5
_0291_,2.5
_0828_,2.5
_0863_,2.5
_0941_,2.5
_0992_,2.5
_1093_,2.5
_1135_,2.5
_1070_,2.4
_0043_,2.3
_0085_,2.3
_0124_,2.3
_0160_,2.3
_0454_,2.3
_0648_,2.3
